message_id,student_query,Metacognition
00111b9b-87d2-42f3-bac2-f9f3471ceccb,kiero hacer mis trabajos,0
00126415-71f1-4762-b213-9109e703e537,muchas gracias,0
00decafa-2f3a-47b4-84b2-54e0866b3345,necesito un numero de contacto para un tutor virtual,0
00e58c2c-54f1-4edf-8f3a-0fca54b9d3f1,GRACIAS,0
011f2f80-1694-4b3f-b668-67b77fdd65cc,"Los participantes de un concurso de talentos pertenecen a tres nacionalidades: peruanos, chilenos y argentinos. Se sabe que 1/3 de los participantes son chilenos, 2/5 del resto son argentinos y el resto son peruanos. Si participan un total de 150 personas ¿Cuántos hay de cada nacionalidad?",0
011fb1da-ac2c-4a34-bd13-a40719978a14,hola solo queria saludarte,0
012a0bd0-c086-4a48-a472-241720d63c3a,Una joven muy ordenada ahorra todos los meses $12.000 de su mesada. Y gasta lo restante que corresponde a 2 3 del total. ¿Cuánto dinero tenía?,0
0137d564-f4b0-414e-9ee7-09c8bb0a852a,ok muchas gracais. Continuare en busca de ayudar. Gracias,0
0175cd9f-1a70-42c1-a21d-2c0f63505845,Sergio recorre en bicicleta los 7/9 del trayecto de una prueba deportiva. Si aún le faltan 18 kilómetros. Cuántos kilómetros tiene la carrera?,0
01d42751-6b68-42bc-b815-b0a57c502d11,La formula para convertir grados fahreheit en grados celcius es f=1/5(9c+160)cual es la temperatura en grados fahrenheit cuando hay 35 grados celcius,0
01e84331-dd19-4ace-931b-d874bed1fcf1,me habilitaron hasta mañana el examen y no puedo ingresar no da la opcion iniciar intento,0
01e9bb7d-3ee1-48b0-aac1-658a4ec190f1,cuando se yo en que tipo de ejercicio tengo que ocupar el mcm y el mcd en un problema?,0
0204e725-5a22-4122-98e9-d3a252099ef9,"Paula tiene dos cintas, una de 45 cm y otra de 60 cm de largo, para adornar cojines. Si debe cortarlas lo más largo posible, de tal manera que todas sean del mismo tamaño y no sobre cinta ¿Cuántos centímetros tendrá cada cinta?",0
020ccfd4-47d7-4369-8f29-9b7dffcb8201,"Quiero los puntos claves NSEG 15.78 y las especificaciones tecnicas para alumbrado publico, características fotometricas, caracteristicas del sistema optico, características eléctrica y mecanicas",0
02a0b9bb-64ab-4cd7-a781-f6b65538cd51,como enviar resueltas lasactividades,0
02a85efe-178b-43f7-bdf5-fe432260c220,Okey,0
02bb8b60-1920-4d65-8d16-0676c9b350f6,"Hay un ejercicio de matemática que no entiendo, pedi ayuda al profesor por medio del foro y no recibi respuesta",0
02bf09cf-7e16-4670-8f07-8544187d2df0,Que es formato de entrega en las evaluaciones,0
030f405f-4996-4c27-956a-077128b76ec7,valor absoluto en un notebook,0
0362cf32-9954-4cd7-97f9-6fb1a82580e5,-3 x 7/8,0
03a27254-df6b-4fd1-a123-3a2825a83e8f,"Segunda evaluación de corriente continua, que Matero entra",0
03b80dd3-220e-40a5-8288-100b8f080303,a los items enumerados les puedes dar una descripcion sintetica?,0
0438dcaa-059f-41d1-b36a-4a0e9b429739,Cuando sera el examen final,0
045b0840-3d2f-4667-a126-b5d081ba8adf,Envie un mensaje a la profesoea pero no recibi respuesta,0
